Character_Name,Full_Name,Role,Personality,Family/Relation
Shinchan,Shinnosuke Nohara,Main Character,Naughty funny and mischievous son,Nohara family
Misae,Misae Nohara,Mother,Strict short-tempered caring,Wife of Hiroshi mother of Shinchan and Himawari
Hiroshi,Hiroshi Nohara,Father,Hardworking relaxed loving,Father of Shinchan husband of Misae
Himawari,Himawari Nohara,Sister,Cute playful loves shiny objects,Younger sister of Shinchan
Shiro,Shiro,Pet Dog,Loyal small and intelligent,Pet of Nohara family
Kazama,Toru Kazama,Friend,Smart serious responsible,Friend of Shinchan
Nene,Nene Sakurada,Friend,Bossy dramatic enjoys roleplay,Friend of Shinchan
Masao,Masao Sato,Friend,Timid emotional cries easily,Friend of Shinchan
Bo,Bo Suzuki,Friend,Quiet slow thinker mysterious,Friend of Shinchan
Principal,Yoshinaga Principal,School Staff,Strict but kind,Kindergarten principal
Miss Yoshinaga,Midori Yoshinaga,Teacher,Gentle caring teacher,Teacher of Shinchan
Miss Matsuzaka,Ume Matsuzaka,Teacher,Stylish short-tempered,Teacher at kindergarten
